spotify_id,name,artists,daily_rank,daily_movement,weekly_movement,country,snapshot_date,popularity,is_explicit,duration_ms,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
3AJwUDP919kvQ9QcozQPxg,Yellow,Coldplay,49,1,1,,30/12/2024,89,FALSE,266773,Parachutes,10/07/2000,0.429,0.661,11,-7.227,1,0.0281,0.00239,0.000121,0.234,0.285,173.372,4
3M0lSi5WW79CXQamgSBIjx,Swim,Chase Atlantic,50,0,0,,30/12/2024,86,TRUE,228786,Chase Atlantic,04/10/2017,0.666,0.542,8,-6.429,1,0.0392,0.27,0,0.0765,0.0771,120.134,4
2plbrEY59IikOBgBGLjaoe,Die With A Smile,"Lady Gaga, Bruno Mars",1,0,2,,29/12/2024,99,FALSE,251667,Die With A Smile,16/08/2024,0.521,0.592,6,-7.777,0,0.0304,0.308,0,0.122,0.535,157.969,3
4wJ5Qq0jBN4ajy7ouZIV1c,APT.,"ROSÉ, Bruno Mars",2,0,3,,29/12/2024,87,FALSE,169917,rosie,06/12/2024,0.777,0.783,0,-4.477,0,0.26,0.0283,0,0.355,0.939,149.027,4
7ne4VBA60CxGM75vw0EYad,That’s So True,Gracie Abrams,3,1,5,,29/12/2024,95,TRUE,166300,The Secret of Us (Deluxe),18/10/2024,0.554,0.808,1,-4.169,1,0.0368,0.214,0,0.159,0.372,108.548,4
6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,Billie Eilish,4,-1,5,,29/12/2024,96,FALSE,210373,HIT ME HARD AND SOFT,17/05/2024,0.747,0.507,2,-10.171,1,0.0358,0.2,0.0608,0.117,0.438,104.978,4
7tI8dRuH2Yc6RuoTjxo4dU,Who,Jimin,5,0,11,,29/12/2024,90,FALSE,170887,MUSE,19/07/2024,0.66,0.756,0,-3.743,0,0.032,0.00289,0,0.193,0.838,116.034,4
2CGNAOSuO1MEFCbBRgUzjd,luther (with sza),"Kendrick Lamar, SZA",6,0,11,,29/12/2024,86,FALSE,177598,GNX,21/11/2024,0.707,0.575,2,-7.546,1,0.125,0.251,0,0.248,0.576,138.008,4
2HRqTpkrJO5ggZyyK6NPWz,Espresso,Sabrina Carpenter,7,0,15,,29/12/2024,88,TRUE,175459,Short n' Sweet,23/08/2024,0.699,0.776,0,-5.282,1,0.0293,0.131,5.36E-06,0.205,0.708,103.963,4
2262bWmqomIaJXwCRHr13j,Sailor Song,Gigi Perez,8,0,15,,29/12/2024,93,FALSE,211978,Sailor Song,26/07/2024,0.494,0.413,11,-10.432,1,0.0254,0.682,6.72E-05,0.193,0.273,94.938,4
1Es7AUAhQvapIcoh3qMKDL,Timeless (with Playboi Carti),"The Weeknd, Playboi Carti",9,0,15,,29/12/2024,92,TRUE,256000,Timeless,27/09/2024,0.769,0.722,11,-5.485,0,0.0507,0.0584,2.56E-06,0.111,0.57,119.973,4
0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!",Chappell Roan,10,1,23,,29/12/2024,92,FALSE,218423,"Good Luck, Babe!",05/04/2024,0.7,0.582,11,-5.96,0,0.0356,0.0502,0,0.0881,0.785,116.712,4
3QaPy1KgI7nu9FJEQUgn6h,WILDFLOWER,Billie Eilish,11,-1,17,,29/12/2024,93,FALSE,261466,HIT ME HARD AND SOFT,17/05/2024,0.467,0.247,6,-12.002,0,0.0431,0.612,0.000271,0.17,0.126,148.101,4
35ISBknsCeZQtq66xABI9g,Messy,Lola Young,12,0,30,,29/12/2024,79,TRUE,284066,This Wasn't Meant For You Anyway,21/06/2024,0.798,0.562,9,-5.913,1,0.0375,0.11,0.00606,0.122,0.647,110.991,4
3xkHsmpQCBMytMJNiDf3Ii,Beautiful Things,Benson Boone,13,0,16,,29/12/2024,88,FALSE,180304,Fireworks & Rollerblades,05/04/2024,0.472,0.471,10,-5.692,1,0.0603,0.151,0,0.14,0.219,105.029,3
6WatFBLVB0x077xWeoVc2k,Si Antes Te Hubiera Conocido,KAROL G,14,1,16,,29/12/2024,92,FALSE,195824,Si Antes Te Hubiera Conocido,21/06/2024,0.924,0.668,11,-6.795,1,0.0469,0.446,0.000594,0.0678,0.787,128.027,4
5G2f63n7IPVPPjfNIGih7Q,Taste,Sabrina Carpenter,15,-1,21,,29/12/2024,91,FALSE,157279,Short n' Sweet,23/08/2024,0.674,0.907,3,-4.086,1,0.064,0.101,0,0.297,0.721,112.964,4
0LTwdL5yZ6YOTEGUQPFuSN,ROSONES,Tito Double P,16,2,25,,29/12/2024,87,TRUE,177590,ROSONES,05/12/2024,0.802,0.726,1,-5.939,1,0.0318,0.704,9.70E-06,0.117,0.604,120.129,3
0l0vcZMU7AOeQmUIREoI2U,Qué Pasaría...,"Rauw Alejandro, Bad Bunny",17,4,31,,29/12/2024,89,TRUE,191018,Cosa Nuestra,15/11/2024,0.833,0.563,4,-5.593,0,0.204,0.528,1.27E-05,0.139,0.343,105.008,4
1cOboCuWYI2osTOfolMRS6,Tu Boda,"Oscar Maydon, Fuerza Regida",18,1,13,,29/12/2024,92,TRUE,225880,Tu Boda,26/09/2024,0.694,0.651,6,-6.968,1,0.0784,0.496,1.36E-05,0.0787,0.471,112.648,3
2tHwzyyOLoWSFqYNjeVMzj,Please Please Please,Sabrina Carpenter,19,3,31,,29/12/2024,87,TRUE,186365,Short n' Sweet,23/08/2024,0.675,0.586,9,-6.086,1,0.0531,0.257,0,0.104,0.621,107.015,4
0qeIFEGRQqHoaJtLCl0U73,DEGENERE 👑 (feat. benny blanco),"Myke Towers, benny blanco",20,0,30,,29/12/2024,87,TRUE,130880,LA PANTERA NEGRA (DELUXE),17/10/2024,0.744,0.709,6,-5.778,0,0.284,0.0501,0,0.0847,0.712,194.055,4
1YYfyJ2yCvGFCxwjsIqEK9,Khé?,"Rauw Alejandro, Romeo Santos",21,6,29,,29/12/2024,88,FALSE,206066,Cosa Nuestra,15/11/2024,0.687,0.627,7,-4.975,1,0.181,0.326,0,0.0893,0.47,155.865,4
17phhZDn6oGtzMe56NuWvj,Lose Control,Teddy Swims,22,1,28,,29/12/2024,88,FALSE,210688,I've Tried Everything But Therapy (Part 1),15/09/2023,0.561,0.604,9,-4.409,1,0.0337,0.199,1.90E-05,0.104,0.242,159.92,3
7G7mSV4BebkoHWwKTDvXu9,Winter Ahead (with PARK HYO SHIN),"V, Park Hyo Shin",23,1,22,,29/12/2024,87,FALSE,234895,Winter Ahead (with PARK HYO SHIN),29/11/2024,0.36,0.316,3,-9.954,1,0.0284,0.858,0.000212,0.23,0.229,76.844,3
0aB0v4027ukVziUGwVGYpG,tv off (feat. lefty gunplay),"Kendrick Lamar, Lefty Gunplay",24,2,23,,29/12/2024,91,TRUE,220690,GNX,22/11/2024,0.855,0.529,6,-6.679,0,0.263,0.0837,0,0.423,0.548,100.036,4
7CyPwkp0oE8Ro9Dd5CUDjW,"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp",25,0,25,,29/12/2024,90,FALSE,244684,The Idol Episode 4 (Music from the HBO Original Series),23/06/2023,0.264,0.64,8,-6.221,1,0.0442,0.0393,2.31E-06,0.151,0.19,84.828,4
3hRV0jL3vUpRrcy398teAU,The Night We Met,Lord Huron,26,2,24,,29/12/2024,88,FALSE,208211,Strange Trails,06/04/2015,0.448,0.369,9,-9.514,1,0.0452,0.968,0.272,0.638,0.0998,174.097,3
5XeFesFbtLpXzIVDNQP22n,I Wanna Be Yours,Arctic Monkeys,27,2,23,,29/12/2024,90,FALSE,183956,AM,09/09/2013,0.464,0.417,0,-9.345,0,0.0256,0.136,0.022,0.0974,0.479,67.528,4
2QjOHCTQ1Jl3zawyYOpxh6,Sweater Weather,The Neighbourhood,28,2,22,,29/12/2024,89,FALSE,240400,I Love You.,22/04/2013,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,4
19XpFsce28aByvCC4g89tJ,Too Sweet,Hozier,29,9,21,,29/12/2024,84,FALSE,251424,Unreal Unearth: Unaired,19/08/2024,0.74,0.643,10,-5.446,1,0.0413,0.041,0.00229,0.0407,0.96,117.025,4
51ZQ1vr10ffzbwIjDCwqm4,we can't be friends (wait for your love),Ariana Grande,30,4,20,,29/12/2024,87,FALSE,228639,eternal sunshine,08/03/2024,0.645,0.646,5,-8.334,1,0.0427,0.0615,3.04E-05,0.074,0.295,115.842,4
2LwsunYgfRoqyIsNtgOCQx,Ma Meilleure Ennemie (from the series Arcane League of Legends),"Arcane, Stromae, Pomme",31,1,19,,29/12/2024,87,FALSE,147973,Arcane League of Legends: Season 2 (Soundtrack from the Animated Series),23/11/2024,0.678,0.604,4,-7.926,0,0.0962,0.00465,0.000936,0.278,0.374,88,4
6jbYpRPTEFl1HFKHk1IC0m,Like Him (feat. Lola Young),"Tyler, The Creator, Lola Young",32,3,18,,29/12/2024,89,TRUE,278014,CHROMAKOPIA,28/10/2024,0.392,0.555,4,-6.707,0,0.039,0.287,0.000253,0.13,0.191,96.063,3
3be9ACTxtcL6Zm4vJRUiPG,blue,yung kai,33,9,17,,29/12/2024,86,FALSE,214357,blue,02/08/2024,0.746,0.317,4,-11.982,1,0.0342,0.933,0.0186,0.121,0.585,97.49,3
50zAEIE4B1QqhPjRMK2Xmh,Running Wild,Jin,34,-1,16,,29/12/2024,82,FALSE,151646,Happy - :') (Remixes),19/11/2024,0.487,0.711,8,-4.22,1,0.0322,0.000175,0,0.152,0.317,146.921,4
51rfRCiUSvxXlCSCfIztBy,"I Love You, I'm Sorry",Gracie Abrams,35,4,15,,29/12/2024,89,TRUE,157146,The Secret of Us,21/06/2024,0.53,0.406,10,-7.507,1,0.033,0.656,0,0.133,0.338,115.94,3
3w3y8KPTfNeOKPiqUTakBh,Locked out of Heaven,Bruno Mars,36,0,14,,29/12/2024,89,FALSE,233478,Unorthodox Jukebox,07/12/2012,0.726,0.698,5,-4.165,1,0.0431,0.049,0,0.309,0.867,143.994,4
1JSTJqkT5qHq8MDJnJbRE1,Every Breath You Take,The Police,37,7,13,,29/12/2024,87,FALSE,253920,Synchronicity (Remastered 2003),17/06/1983,0.82,0.452,1,-9.796,1,0.0348,0.543,0.00294,0.0714,0.74,117.401,4
5fZJQrFKWQLb7FpJXZ1g7K,A Bar Song (Tipsy),Shaboozey,38,8,12,,29/12/2024,83,TRUE,171291,"Where I've Been, Isn't Where I'm Going",31/05/2024,0.722,0.706,9,-4.857,1,0.0292,0.072,0,0.067,0.599,80.969,4
2osJCvi2zzebMQTc7vvcAm,Just the Way You Are,Bruno Mars,39,11,11,,29/12/2024,56,FALSE,220734,100 Greatest R&B,22/11/2019,0.635,0.841,5,-5.379,1,0.0422,0.0134,0,0.0622,0.424,109.021,4
0KKkJNfGyhkQ5aFogxQAPU,That's What I Like,Bruno Mars,40,0,10,,29/12/2024,88,FALSE,206693,24K Magic,17/11/2016,0.853,0.56,1,-4.961,1,0.0406,0.013,0,0.0944,0.86,134.066,4
3tFed7YsjGnIfxeLEQwx3R,"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler, The Creator, GloRilla, Sexyy Red, Lil Wayne",41,4,9,,29/12/2024,89,TRUE,255915,CHROMAKOPIA,28/10/2024,0.505,0.812,1,-3.986,1,0.461,0.285,0,0.444,0.664,80.09,4
3OHfY25tqY28d16oZczHc8,Kill Bill,SZA,42,8,8,,29/12/2024,78,FALSE,153946,SOS,09/12/2022,0.644,0.728,8,-5.75,1,0.0351,0.0543,0.169,0.161,0.43,88.993,4
7sd6zMrgGpEa7NkQm9TRrg,NADIE,Tito Double P,43,7,7,,29/12/2024,87,TRUE,197031,NADIE,21/11/2024,0.702,0.843,7,-4.71,1,0.114,0.465,0,0.12,0.526,92.604,4
2FRnf9qhLbvw8fu4IBXx78,Last Christmas,Wham!,44,-28,-42,,29/12/2024,96,FALSE,262960,LAST CHRISTMAS,29/11/1984,0.735,0.478,2,-12.472,1,0.0293,0.189,2.48E-06,0.355,0.947,107.682,4
3U3hFkMr0Q90pD24EkE3Pr,BMF,SZA,45,5,5,,29/12/2024,79,TRUE,180746,SOS Deluxe: LANA,20/12/2024,0.792,0.55,10,-8.528,0,0.0307,0.506,0.0166,0.087,0.972,128.023,4
3qhlB30KknSejmIvZZLjOD,End of Beginning,Djo,46,3,4,,29/12/2024,89,FALSE,159245,DECIDE,16/09/2022,0.689,0.454,2,-7.643,1,0.0584,0.0351,0.00259,0.0707,0.912,159.982,4
0bYg9bo50gSsH3LtXe2SQn,All I Want for Christmas Is You,Mariah Carey,47,-30,-46,,29/12/2024,98,FALSE,241106,Merry Christmas,28/10/1994,0.336,0.627,7,-7.463,1,0.0384,0.164,0,0.0708,0.35,150.273,4
0BUkQGUXgcvf3gdCWYbtnJ,Oh Garota Eu Quero Você Só Pra Mim,"Oruam, Zé Felipe, MC Tuto, Dj Lc da Roça, MC K9, Mc Rodrigo do CN, mc pl alves",48,2,2,,29/12/2024,77,TRUE,166861,Oh Garota Eu Quero Você Só Pra Mim,17/12/2024,0.905,0.861,11,-2.313,0,0.243,0.0361,1.30E-05,0.0808,0.727,137.195,4
5lKFO0PrOC9jmOlPEdjHsL,DOS DÍAS,"Tito Double P, Peso Pluma",49,1,1,,29/12/2024,88,TRUE,153928,INCÓMODO,22/08/2024,0.745,0.513,1,-9.116,1,0.087,0.783,0,0.216,0.929,109.935,3
3AJwUDP919kvQ9QcozQPxg,Yellow,Coldplay,50,-2,0,,29/12/2024,88,FALSE,266773,Parachutes,10/07/2000,0.429,0.661,11,-7.227,1,0.0281,0.00239,0.000121,0.234,0.285,173.372,4
2plbrEY59IikOBgBGLjaoe,Die With A Smile,"Lady Gaga, Bruno Mars",1,0,0,,28/12/2024,99,FALSE,251667,Die With A Smile,16/08/2024,0.521,0.592,6,-7.777,0,0.0304,0.308,0,0.122,0.535,157.969,3
4wJ5Qq0jBN4ajy7ouZIV1c,APT.,"ROSÉ, Bruno Mars",2,0,2,,28/12/2024,87,FALSE,169917,rosie,06/12/2024,0.777,0.783,0,-4.477,0,0.26,0.0283,0,0.355,0.939,149.027,4
6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,Billie Eilish,3,3,5,,28/12/2024,96,FALSE,210373,HIT ME HARD AND SOFT,17/05/2024,0.747,0.507,2,-10.171,1,0.0358,0.2,0.0608,0.117,0.438,104.978,4
7ne4VBA60CxGM75vw0EYad,That’s So True,Gracie Abrams,4,1,3,,28/12/2024,95,TRUE,166300,The Secret of Us (Deluxe),18/10/2024,0.554,0.808,1,-4.169,1,0.0368,0.214,0,0.159,0.372,108.548,4
7tI8dRuH2Yc6RuoTjxo4dU,Who,Jimin,5,3,10,,28/12/2024,90,FALSE,170887,MUSE,19/07/2024,0.66,0.756,0,-3.743,0,0.032,0.00289,0,0.193,0.838,116.034,4
2CGNAOSuO1MEFCbBRgUzjd,luther (with sza),"Kendrick Lamar, SZA",6,4,7,,28/12/2024,86,FALSE,177598,GNX,21/11/2024,0.707,0.575,2,-7.546,1,0.125,0.251,0,0.248,0.576,138.008,4
2HRqTpkrJO5ggZyyK6NPWz,Espresso,Sabrina Carpenter,7,5,13,,28/12/2024,88,TRUE,175459,Short n' Sweet,23/08/2024,0.699,0.776,0,-5.282,1,0.0293,0.131,5.36E-06,0.205,0.708,103.963,4
2262bWmqomIaJXwCRHr13j,Sailor Song,Gigi Perez,8,6,10,,28/12/2024,93,FALSE,211978,Sailor Song,26/07/2024,0.494,0.413,11,-10.432,1,0.0254,0.682,6.72E-05,0.193,0.273,94.938,4
1Es7AUAhQvapIcoh3qMKDL,Timeless (with Playboi Carti),"The Weeknd, Playboi Carti",9,7,12,,28/12/2024,92,TRUE,256000,Timeless,27/09/2024,0.769,0.722,11,-5.485,0,0.0507,0.0584,2.56E-06,0.111,0.57,119.973,4
3QaPy1KgI7nu9FJEQUgn6h,WILDFLOWER,Billie Eilish,10,8,13,,28/12/2024,93,FALSE,261466,HIT ME HARD AND SOFT,17/05/2024,0.467,0.247,6,-12.002,0,0.0431,0.612,0.000271,0.17,0.126,148.101,4
0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!",Chappell Roan,11,11,16,,28/12/2024,92,FALSE,218423,"Good Luck, Babe!",05/04/2024,0.7,0.582,11,-5.96,0,0.0356,0.0502,0,0.0881,0.785,116.712,4
35ISBknsCeZQtq66xABI9g,Messy,Lola Young,12,15,18,,28/12/2024,78,TRUE,284066,This Wasn't Meant For You Anyway,21/06/2024,0.798,0.562,9,-5.913,1,0.0375,0.11,0.00606,0.122,0.647,110.991,4
3xkHsmpQCBMytMJNiDf3Ii,Beautiful Things,Benson Boone,13,11,13,,28/12/2024,88,FALSE,180304,Fireworks & Rollerblades,05/04/2024,0.472,0.471,10,-5.692,1,0.0603,0.151,0,0.14,0.219,105.029,3
5G2f63n7IPVPPjfNIGih7Q,Taste,Sabrina Carpenter,14,12,15,,28/12/2024,91,FALSE,157279,Short n' Sweet,23/08/2024,0.674,0.907,3,-4.086,1,0.064,0.101,0,0.297,0.721,112.964,4
6WatFBLVB0x077xWeoVc2k,Si Antes Te Hubiera Conocido,KAROL G,15,8,16,,28/12/2024,92,FALSE,195824,Si Antes Te Hubiera Conocido,21/06/2024,0.924,0.668,11,-6.795,1,0.0469,0.446,0.000594,0.0678,0.787,128.027,4
2FRnf9qhLbvw8fu4IBXx78,Last Christmas,Wham!,16,-13,-13,,28/12/2024,96,FALSE,262960,LAST CHRISTMAS,29/11/1984,0.735,0.478,2,-12.472,1,0.0293,0.189,2.48E-06,0.355,0.947,107.682,4
0bYg9bo50gSsH3LtXe2SQn,All I Want for Christmas Is You,Mariah Carey,17,-13,-15,,28/12/2024,98,FALSE,241106,Merry Christmas,28/10/1994,0.336,0.627,7,-7.463,1,0.0384,0.164,0,0.0708,0.35,150.273,4
0LTwdL5yZ6YOTEGUQPFuSN,ROSONES,Tito Double P,18,10,18,,28/12/2024,86,TRUE,177590,ROSONES,05/12/2024,0.802,0.726,1,-5.939,1,0.0318,0.704,9.70E-06,0.117,0.604,120.129,3
1cOboCuWYI2osTOfolMRS6,Tu Boda,"Oscar Maydon, Fuerza Regida",19,6,9,,28/12/2024,92,TRUE,225880,Tu Boda,26/09/2024,0.694,0.651,6,-6.968,1,0.0784,0.496,1.36E-05,0.0787,0.471,112.648,3
0qeIFEGRQqHoaJtLCl0U73,DEGENERE 👑 (feat. benny blanco),"Myke Towers, benny blanco",20,28,28,,28/12/2024,87,TRUE,130880,LA PANTERA NEGRA (DELUXE),17/10/2024,0.744,0.709,6,-5.778,0,0.284,0.0501,0,0.0847,0.712,194.055,4
0l0vcZMU7AOeQmUIREoI2U,Qué Pasaría...,"Rauw Alejandro, Bad Bunny",21,17,17,,28/12/2024,89,TRUE,191018,Cosa Nuestra,15/11/2024,0.833,0.563,4,-5.593,0,0.204,0.528,1.27E-05,0.139,0.343,105.008,4
2tHwzyyOLoWSFqYNjeVMzj,Please Please Please,Sabrina Carpenter,22,14,20,,28/12/2024,86,TRUE,186365,Short n' Sweet,23/08/2024,0.675,0.586,9,-6.086,1,0.0531,0.257,0,0.104,0.621,107.015,4
17phhZDn6oGtzMe56NuWvj,Lose Control,Teddy Swims,23,19,24,,28/12/2024,88,FALSE,210688,I've Tried Everything But Therapy (Part 1),15/09/2023,0.561,0.604,9,-4.409,1,0.0337,0.199,1.90E-05,0.104,0.242,159.92,3
7G7mSV4BebkoHWwKTDvXu9,Winter Ahead (with PARK HYO SHIN),"V, Park Hyo Shin",24,7,19,,28/12/2024,87,FALSE,234895,Winter Ahead (with PARK HYO SHIN),29/11/2024,0.36,0.316,3,-9.954,1,0.0284,0.858,0.000212,0.23,0.229,76.844,3
7CyPwkp0oE8Ro9Dd5CUDjW,"One Of The Girls (with JENNIE, Lily Rose Depp)","The Weeknd, JENNIE, Lily-Rose Depp",25,8,25,,28/12/2024,89,FALSE,244684,The Idol Episode 4 (Music from the HBO Original Series),23/06/2023,0.264,0.64,8,-6.221,1,0.0442,0.0393,2.31E-06,0.151,0.19,84.828,4
0aB0v4027ukVziUGwVGYpG,tv off (feat. lefty gunplay),"Kendrick Lamar, Lefty Gunplay",26,13,9,,28/12/2024,91,TRUE,220690,GNX,22/11/2024,0.855,0.529,6,-6.679,0,0.263,0.0837,0,0.423,0.548,100.036,4
1YYfyJ2yCvGFCxwjsIqEK9,Khé?,"Rauw Alejandro, Romeo Santos",27,8,13,,28/12/2024,88,FALSE,206066,Cosa Nuestra,15/11/2024,0.687,0.627,7,-4.975,1,0.181,0.326,0,0.0893,0.47,155.865,4
3hRV0jL3vUpRrcy398teAU,The Night We Met,Lord Huron,28,13,22,,28/12/2024,88,FALSE,208211,Strange Trails,06/04/2015,0.448,0.369,9,-9.514,1,0.0452,0.968,0.272,0.638,0.0998,174.097,3
5XeFesFbtLpXzIVDNQP22n,I Wanna Be Yours,Arctic Monkeys,29,8,21,,28/12/2024,90,FALSE,183956,AM,09/09/2013,0.464,0.417,0,-9.345,0,0.0256,0.136,0.022,0.0974,0.479,67.528,4
2QjOHCTQ1Jl3zawyYOpxh6,Sweater Weather,The Neighbourhood,30,10,20,,28/12/2024,89,FALSE,240400,I Love You.,22/04/2013,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,4
7KA4W4McWYRpgf0fWsJZWB,See You Again (feat. Kali Uchis),"Tyler, The Creator, Kali Uchis",31,3,19,,28/12/2024,89,TRUE,180386,Flower Boy,21/07/2017,0.558,0.559,6,-9.222,1,0.0959,0.371,7.49E-06,0.109,0.62,78.558,4
2LwsunYgfRoqyIsNtgOCQx,Ma Meilleure Ennemie (from the series Arcane League of Legends),"Arcane, Stromae, Pomme",32,12,5,,28/12/2024,87,FALSE,147973,Arcane League of Legends: Season 2 (Soundtrack from the Animated Series),23/11/2024,0.678,0.604,4,-7.926,0,0.0962,0.00465,0.000936,0.278,0.374,88,4
50zAEIE4B1QqhPjRMK2Xmh,Running Wild,Jin,33,10,17,,28/12/2024,82,FALSE,151646,Happy - :') (Remixes),19/11/2024,0.487,0.711,8,-4.22,1,0.0322,0.000175,0,0.152,0.317,146.921,4
51ZQ1vr10ffzbwIjDCwqm4,we can't be friends (wait for your love),Ariana Grande,34,16,16,,28/12/2024,87,FALSE,228639,eternal sunshine,08/03/2024,0.645,0.646,5,-8.334,1,0.0427,0.0615,3.04E-05,0.074,0.295,115.842,4
6jbYpRPTEFl1HFKHk1IC0m,Like Him (feat. Lola Young),"Tyler, The Creator, Lola Young",35,15,15,,28/12/2024,89,TRUE,278014,CHROMAKOPIA,28/10/2024,0.392,0.555,4,-6.707,0,0.039,0.287,0.000253,0.13,0.191,96.063,3
3w3y8KPTfNeOKPiqUTakBh,Locked out of Heaven,Bruno Mars,36,10,14,,28/12/2024,89,FALSE,233478,Unorthodox Jukebox,07/12/2012,0.726,0.698,5,-4.165,1,0.0431,0.049,0,0.309,0.867,143.994,4
1OSOHTBFkIkhUtxhOyUksc,PIToRRO DE COCO,Bad Bunny,37,13,13,,28/12/2024,62,FALSE,206627,PIToRRO DE COCO,26/12/2024,0.636,0.667,7,-4.708,1,0.0323,0.25,6.95E-06,0.116,0.544,97.769,4
19XpFsce28aByvCC4g89tJ,Too Sweet,Hozier,38,12,12,,28/12/2024,83,FALSE,251424,Unreal Unearth: Unaired,19/08/2024,0.74,0.643,10,-5.446,1,0.0413,0.041,0.00229,0.0407,0.96,117.025,4
51rfRCiUSvxXlCSCfIztBy,"I Love You, I'm Sorry",Gracie Abrams,39,11,11,,28/12/2024,89,TRUE,157146,The Secret of Us,21/06/2024,0.53,0.406,10,-7.507,1,0.033,0.656,0,0.133,0.338,115.94,3
0KKkJNfGyhkQ5aFogxQAPU,That's What I Like,Bruno Mars,40,10,10,,28/12/2024,88,FALSE,206693,24K Magic,17/11/2016,0.853,0.56,1,-4.961,1,0.0406,0.013,0,0.0944,0.86,134.066,4
2EjXfH91m7f8HiJN1yQg97,Rockin' Around The Christmas Tree,Brenda Lee,41,-34,-36,,28/12/2024,97,FALSE,126266,Merry Christmas From Brenda Lee,19/10/1964,0.598,0.47,8,-8.744,1,0.0496,0.617,0,0.505,0.879,67.086,4
3be9ACTxtcL6Zm4vJRUiPG,blue,yung kai,42,7,8,,28/12/2024,85,FALSE,214357,blue,02/08/2024,0.746,0.317,4,-11.982,1,0.0342,0.933,0.0186,0.121,0.585,97.49,3
1Qrg8KqiBpW07V7PNxwwwL,Kill Bill,SZA,43,7,7,,28/12/2024,86,FALSE,153946,SOS,08/12/2022,0.644,0.735,8,-5.747,1,0.0391,0.0521,0.144,0.161,0.418,88.98,4
1JSTJqkT5qHq8MDJnJbRE1,Every Breath You Take,The Police,44,6,6,,28/12/2024,87,FALSE,253920,Synchronicity (Remastered 2003),17/06/1983,0.82,0.452,1,-9.796,1,0.0348,0.543,0.00294,0.0714,0.74,117.401,4
3tFed7YsjGnIfxeLEQwx3R,"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler, The Creator, GloRilla, Sexyy Red, Lil Wayne",45,5,5,,28/12/2024,89,TRUE,255915,CHROMAKOPIA,28/10/2024,0.505,0.812,1,-3.986,1,0.461,0.285,0,0.444,0.664,80.09,4
5fZJQrFKWQLb7FpJXZ1g7K,A Bar Song (Tipsy),Shaboozey,46,4,4,,28/12/2024,83,TRUE,171291,"Where I've Been, Isn't Where I'm Going",31/05/2024,0.722,0.706,9,-4.857,1,0.0292,0.072,0,0.067,0.599,80.969,4
47Slg6LuqLaX0VodpSCvPt,Just the Way You Are,Bruno Mars,47,3,3,,28/12/2024,81,FALSE,220734,Doo-Wops & Hooligans,11/05/2010,0.635,0.841,5,-5.379,1,0.0422,0.0134,0,0.0622,0.424,109.021,4
3AJwUDP919kvQ9QcozQPxg,Yellow,Coldplay,48,2,2,,28/12/2024,88,FALSE,266773,Parachutes,10/07/2000,0.429,0.661,11,-7.227,1,0.0281,0.00239,0.000121,0.234,0.285,173.372,4
3qhlB30KknSejmIvZZLjOD,End of Beginning,Djo,49,1,1,,28/12/2024,89,FALSE,159245,DECIDE,16/09/2022,0.689,0.454,2,-7.643,1,0.0584,0.0351,0.00259,0.0707,0.912,159.982,4
7sd6zMrgGpEa7NkQm9TRrg,NADIE,Tito Double P,50,0,0,,28/12/2024,87,TRUE,197031,NADIE,21/11/2024,0.702,0.843,7,-4.71,1,0.114,0.465,0,0.12,0.526,92.604,4
2plbrEY59IikOBgBGLjaoe,Die With A Smile,"Lady Gaga, Bruno Mars",1,15,0,,27/12/2024,99,FALSE,251667,Die With A Smile,16/08/2024,0.521,0.592,6,-7.777,0,0.0304,0.308,0,0.122,0.535,157.969,3
4wJ5Qq0jBN4ajy7ouZIV1c,APT.,"ROSÉ, Bruno Mars",2,19,0,,27/12/2024,86,FALSE,169917,rosie,06/12/2024,0.777,0.783,0,-4.477,0,0.26,0.0283,0,0.355,0.939,149.027,4
2FRnf9qhLbvw8fu4IBXx78,Last Christmas,Wham!,3,-1,1,,27/12/2024,96,FALSE,262960,LAST CHRISTMAS,29/11/1984,0.735,0.478,2,-12.472,1,0.0293,0.189,2.48E-06,0.355,0.947,107.682,4
0bYg9bo50gSsH3LtXe2SQn,All I Want for Christmas Is You,Mariah Carey,4,-3,-1,,27/12/2024,98,FALSE,241106,Merry Christmas,28/10/1994,0.336,0.627,7,-7.463,1,0.0384,0.164,0,0.0708,0.35,150.273,4
7ne4VBA60CxGM75vw0EYad,That’s So True,Gracie Abrams,5,43,1,,27/12/2024,95,TRUE,166300,The Secret of Us (Deluxe),18/10/2024,0.554,0.808,1,-4.169,1,0.0368,0.214,0,0.159,0.372,108.548,4
